id	domain	guardrail	title	phase	tier	readiness	gate	status	metric	target	safety_invariant
PERF-D01-G11	D01	G11	Boot and topology discovery: steady-state allocation count	P0	T0+T1+T2	prototype	release	specified	allocations_per_operation	heap allocations per steady-state work unit = 0; pool claims are separately counted	Malformed firmware data fails closed and no task runs from an unvalidated topology
PERF-D01-G12	D01	G12	Boot and topology discovery: allocation and reclamation latency	P0	T0+T1+T2	prototype	release	specified	allocation_latency_us_max	setup or pool allocation max <= 10 us; reclamation is bounded	Malformed firmware data fails closed and no task runs from an unvalidated topology
PERF-D01-G13	D01	G13	Boot and topology discovery: queue residence p99	P0	T0+T1+T2	prototype	release	specified	queue_wait_us_p99	enqueue-to-service p99 <= 50 us	Malformed firmware data fails closed and no task runs from an unvalidated topology
PERF-D01-G14	D01	G14	Boot and topology discovery: queue processing maximum	P0	T0+T1+T2	prototype	release	specified	queue_service_us_max	service-start-to-completion max <= 100 us	Malformed firmware data fails closed and no task runs from an unvalidated topology
PERF-D01-G15	D01	G15	Boot and topology discovery: sustained throughput floor	P0	T0+T1+T2	prototype	release	specified	throughput_per_second	sustained throughput >= 500 work units/s where hardware transport is excluded as documented	Malformed firmware data fails closed and no task runs from an unvalidated topology
PERF-D01-G16	D01	G16	Boot and topology discovery: burst and backpressure safety	P0	T0+T1+T2	prototype	release	specified	burst_recovery	2x throughput floor for 10 s; bounded queue; safety work completes <= 2000 us	Malformed firmware data fails closed and no task runs from an unvalidated topology
PERF-D01-G17	D01	G17	Boot and topology discovery: cold start latency	P0	T0+T1+T2	prototype	release	specified	cold_start_ms	cold start <= 50 ms with caches and device state reset as specified	Malformed firmware data fails closed and no task runs from an unvalidated topology
PERF-D01-G18	D01	G18	Boot and topology discovery: warm restart and reuse latency	P0	T0+T1+T2	prototype	release	specified	warm_start_us	warm restart or reuse <= 2000 us	Malformed firmware data fails closed and no task runs from an unvalidated topology
PERF-D01-G19	D01	G19	Boot and topology discovery: isolation under competing load	P0	T0+T1+T2	prototype	release	specified	loaded_degradation	p99 degradation <= 5%; max degradation <= 10%; hard deadline misses = 0	Malformed firmware data fails closed and no task runs from an unvalidated topology
PERF-D01-G20	D01	G20	Boot and topology discovery: security denial cost and safety	P0	T0+T1+T2	prototype	release	specified	denial_latency_and_state	denied or malformed work completes <= 1250 us; state changes = 0; allocations = 0	Malformed firmware data fails closed and no task runs from an unvalidated topology
PERF-D01-G21	D01	G21	Boot and topology discovery: exhaustion and fault containment	P0	T0+T1+T2	prototype	release	specified	fault_completion	fault decision and containment <= 2000 us; leaks deadlocks and unsafe retries = 0	Malformed firmware data fails closed and no task runs from an unvalidated topology
PERF-D01-G22	D01	G22	Boot and topology discovery: 72-hour soak stability	P0	T0+T1+T2	prototype	release	specified	soak_drift	72 h: hard deadline misses = 0; memory growth = 0; p99 drift <= 5%; unexpected safe-state transitions = 0	Malformed firmware data fails closed and no task runs from an unvalidated topology
PERF-D01-G23	D01	G23	Boot and topology discovery: spoor observability overhead	P0	T0+T1+T2	prototype	release	specified	observability_overhead	spoor enabled adds <= 2% p99 and <= 2% CPU cycles; allocations = 0; torn records = 0	Malformed firmware data fails closed and no task runs from an unvalidated topology
PERF-D01-G24	D01	G24	Boot and topology discovery: same-hardware Linux advantage	P0	T0+T1+T2	prototype	claim	specified	linux_comparison_ratio	to claim superiority: TinyOS p99 <= 0.5x Linux PREEMPT_RT and <= 0.25x vanilla Linux; footprint <= 0.1x	Malformed firmware data fails closed and no task runs from an unvalidated topology
PERF-D01-G25	D01	G25	Boot and topology discovery: same-hardware ten-times RTOS claim	P0	T0+T1+T2	prototype	claim	specified	rtos_comparison_ratio	to claim 10x: named primary metric improvement >= 10.0x versus median of at least 3 current RTOS baselines with equivalent safety	Malformed firmware data fails closed and no task runs from an unvalidated topology
PERF-D02-G01	D02	G01	Interrupt entry and exit: median latency	P1	T1+T2	unbuilt	release	specified	latency_us_p50	p50 <= 0.25 us	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D02-G02	D02	G02	Interrupt entry and exit: p99 latency	P1	T1+T2	unbuilt	release	specified	latency_us_p99	p99 <= 0.5 us	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D02-G03	D02	G03	Interrupt entry and exit: p99.9 tail latency	P1	T1+T2	unbuilt	release	specified	latency_us_p99_9	p99.9 <= 0.75 us	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D02-G04	D02	G04	Interrupt entry and exit: observed maximum and WCET bound	P1	T1+T2	unbuilt	release	specified	latency_us_max	observed max <= 1 us and declared bound has >= 20% evidence margin	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D02-G05	D02	G05	Interrupt entry and exit: jitter envelope	P1	T1+T2	unbuilt	release	specified	latency_jitter	p99-p50 <= 0.25 us and run-to-run p99 CV <= 5%	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D02-G06	D02	G06	Interrupt entry and exit: median CPU cycles	P1	T1+T2	unbuilt	release	specified	cpu_cycles_p50	p50 <= 500 cycles	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D02-G07	D02	G07	Interrupt entry and exit: p99 CPU cycles	P1	T1+T2	unbuilt	release	specified	cpu_cycles_p99	p99 <= 1000 cycles	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D02-G08	D02	G08	Interrupt entry and exit: microarchitectural efficiency	P1	T1+T2	unbuilt	release	specified	instructions_branch_cache	retired instructions <= 2000; branch misses <= 1%; L1D misses <= 3%	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D02-G09	D02	G09	Interrupt entry and exit: image and feature footprint	P1	T1+T2	unbuilt	release	specified	image_bytes	feature code plus read-only data delta <= 16 KiB	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D02-G10	D02	G10	Interrupt entry and exit: peak working memory	P1	T1+T2	unbuilt	release	specified	working_memory_kib	peak OS-owned working memory for work unit <= 8 KiB	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D02-G11	D02	G11	Interrupt entry and exit: steady-state allocation count	P1	T1+T2	unbuilt	release	specified	allocations_per_operation	heap allocations per steady-state work unit = 0; pool claims are separately counted	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D02-G12	D02	G12	Interrupt entry and exit: allocation and reclamation latency	P1	T1+T2	unbuilt	release	specified	allocation_latency_us_max	setup or pool allocation max <= 1 us; reclamation is bounded	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D02-G13	D02	G13	Interrupt entry and exit: queue residence p99	P1	T1+T2	unbuilt	release	specified	queue_wait_us_p99	enqueue-to-service p99 <= 2 us	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D02-G14	D02	G14	Interrupt entry and exit: queue processing maximum	P1	T1+T2	unbuilt	release	specified	queue_service_us_max	service-start-to-completion max <= 5 us	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D02-G15	D02	G15	Interrupt entry and exit: sustained throughput floor	P1	T1+T2	unbuilt	release	specified	throughput_per_second	sustained throughput >= 1000000 work units/s where hardware transport is excluded as documented	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D02-G16	D02	G16	Interrupt entry and exit: burst and backpressure safety	P1	T1+T2	unbuilt	release	specified	burst_recovery	2x throughput floor for 10 s; bounded queue; safety work completes <= 1 us	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D02-G17	D02	G17	Interrupt entry and exit: cold start latency	P1	T1+T2	unbuilt	release	specified	cold_start_ms	cold start <= 1 ms with caches and device state reset as specified	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D02-G18	D02	G18	Interrupt entry and exit: warm restart and reuse latency	P1	T1+T2	unbuilt	release	specified	warm_start_us	warm restart or reuse <= 1 us	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D02-G19	D02	G19	Interrupt entry and exit: isolation under competing load	P1	T1+T2	unbuilt	release	specified	loaded_degradation	p99 degradation <= 5%; max degradation <= 10%; hard deadline misses = 0	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D02-G20	D02	G20	Interrupt entry and exit: security denial cost and safety	P1	T1+T2	unbuilt	release	specified	denial_latency_and_state	denied or malformed work completes <= 0.625 us; state changes = 0; allocations = 0	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D02-G21	D02	G21	Interrupt entry and exit: exhaustion and fault containment	P1	T1+T2	unbuilt	release	specified	fault_completion	fault decision and containment <= 1 us; leaks deadlocks and unsafe retries = 0	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D02-G22	D02	G22	Interrupt entry and exit: 72-hour soak stability	P1	T1+T2	unbuilt	release	specified	soak_drift	72 h: hard deadline misses = 0; memory growth = 0; p99 drift <= 5%; unexpected safe-state transitions = 0	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D02-G23	D02	G23	Interrupt entry and exit: spoor observability overhead	P1	T1+T2	unbuilt	release	specified	observability_overhead	spoor enabled adds <= 2% p99 and <= 2% CPU cycles; allocations = 0; torn records = 0	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D02-G24	D02	G24	Interrupt entry and exit: same-hardware Linux advantage	P1	T1+T2	unbuilt	claim	specified	linux_comparison_ratio	to claim superiority: TinyOS p99 <= 0.5x Linux PREEMPT_RT and <= 0.25x vanilla Linux; footprint <= 0.1x	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D02-G25	D02	G25	Interrupt entry and exit: same-hardware ten-times RTOS claim	P1	T1+T2	unbuilt	claim	specified	rtos_comparison_ratio	to claim 10x: named primary metric improvement >= 10.0x versus median of at least 3 current RTOS baselines with equivalent safety	Interrupt storms cannot starve the safety timer or execute an unregistered handler
PERF-D03-G01	D03	G01	Timer tick and deadline accounting: median latency	P1	T0+T1+T2	partial	release	specified	latency_us_p50	p50 <= 0.15 us	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D03-G02	D03	G02	Timer tick and deadline accounting: p99 latency	P1	T0+T1+T2	partial	release	specified	latency_us_p99	p99 <= 0.3 us	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D03-G03	D03	G03	Timer tick and deadline accounting: p99.9 tail latency	P1	T0+T1+T2	partial	release	specified	latency_us_p99_9	p99.9 <= 0.5 us	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D03-G04	D03	G04	Timer tick and deadline accounting: observed maximum and WCET bound	P1	T0+T1+T2	partial	release	specified	latency_us_max	observed max <= 0.75 us and declared bound has >= 20% evidence margin	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D03-G05	D03	G05	Timer tick and deadline accounting: jitter envelope	P1	T0+T1+T2	partial	release	specified	latency_jitter	p99-p50 <= 0.15 us and run-to-run p99 CV <= 5%	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D03-G06	D03	G06	Timer tick and deadline accounting: median CPU cycles	P1	T0+T1+T2	partial	release	specified	cpu_cycles_p50	p50 <= 300 cycles	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D03-G07	D03	G07	Timer tick and deadline accounting: p99 CPU cycles	P1	T0+T1+T2	partial	release	specified	cpu_cycles_p99	p99 <= 600 cycles	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D03-G08	D03	G08	Timer tick and deadline accounting: microarchitectural efficiency	P1	T0+T1+T2	partial	release	specified	instructions_branch_cache	retired instructions <= 1200; branch misses <= 1%; L1D misses <= 3%	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D03-G09	D03	G09	Timer tick and deadline accounting: image and feature footprint	P1	T0+T1+T2	partial	release	specified	image_bytes	feature code plus read-only data delta <= 16 KiB	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D03-G10	D03	G10	Timer tick and deadline accounting: peak working memory	P1	T0+T1+T2	partial	release	specified	working_memory_kib	peak OS-owned working memory for work unit <= 8 KiB	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D03-G11	D03	G11	Timer tick and deadline accounting: steady-state allocation count	P1	T0+T1+T2	partial	release	specified	allocations_per_operation	heap allocations per steady-state work unit = 0; pool claims are separately counted	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D03-G12	D03	G12	Timer tick and deadline accounting: allocation and reclamation latency	P1	T0+T1+T2	partial	release	specified	allocation_latency_us_max	setup or pool allocation max <= 0.75 us; reclamation is bounded	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D03-G13	D03	G13	Timer tick and deadline accounting: queue residence p99	P1	T0+T1+T2	partial	release	specified	queue_wait_us_p99	enqueue-to-service p99 <= 2 us	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D03-G14	D03	G14	Timer tick and deadline accounting: queue processing maximum	P1	T0+T1+T2	partial	release	specified	queue_service_us_max	service-start-to-completion max <= 5 us	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D03-G15	D03	G15	Timer tick and deadline accounting: sustained throughput floor	P1	T0+T1+T2	partial	release	specified	throughput_per_second	sustained throughput >= 2000000 work units/s where hardware transport is excluded as documented	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D03-G16	D03	G16	Timer tick and deadline accounting: burst and backpressure safety	P1	T0+T1+T2	partial	release	specified	burst_recovery	2x throughput floor for 10 s; bounded queue; safety work completes <= 0.75 us	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D03-G17	D03	G17	Timer tick and deadline accounting: cold start latency	P1	T0+T1+T2	partial	release	specified	cold_start_ms	cold start <= 1 ms with caches and device state reset as specified	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D03-G18	D03	G18	Timer tick and deadline accounting: warm restart and reuse latency	P1	T0+T1+T2	partial	release	specified	warm_start_us	warm restart or reuse <= 1 us	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D03-G19	D03	G19	Timer tick and deadline accounting: isolation under competing load	P1	T0+T1+T2	partial	release	specified	loaded_degradation	p99 degradation <= 5%; max degradation <= 10%; hard deadline misses = 0	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D03-G20	D03	G20	Timer tick and deadline accounting: security denial cost and safety	P1	T0+T1+T2	partial	release	specified	denial_latency_and_state	denied or malformed work completes <= 0.375 us; state changes = 0; allocations = 0	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D03-G21	D03	G21	Timer tick and deadline accounting: exhaustion and fault containment	P1	T0+T1+T2	partial	release	specified	fault_completion	fault decision and containment <= 0.75 us; leaks deadlocks and unsafe retries = 0	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D03-G22	D03	G22	Timer tick and deadline accounting: 72-hour soak stability	P1	T0+T1+T2	partial	release	specified	soak_drift	72 h: hard deadline misses = 0; memory growth = 0; p99 drift <= 5%; unexpected safe-state transitions = 0	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D03-G23	D03	G23	Timer tick and deadline accounting: spoor observability overhead	P1	T0+T1+T2	partial	release	specified	observability_overhead	spoor enabled adds <= 2% p99 and <= 2% CPU cycles; allocations = 0; torn records = 0	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D03-G24	D03	G24	Timer tick and deadline accounting: same-hardware Linux advantage	P1	T0+T1+T2	partial	claim	specified	linux_comparison_ratio	to claim superiority: TinyOS p99 <= 0.5x Linux PREEMPT_RT and <= 0.25x vanilla Linux; footprint <= 0.1x	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D03-G25	D03	G25	Timer tick and deadline accounting: same-hardware ten-times RTOS claim	P1	T0+T1+T2	partial	claim	specified	rtos_comparison_ratio	to claim 10x: named primary metric improvement >= 10.0x versus median of at least 3 current RTOS baselines with equivalent safety	A WCET overrun is detected once per budget window and reaches a bounded fail-safe handler
PERF-D04-G01	D04	G01	Context switch: median latency	P0	T0+T1+T2	prototype	release	specified	latency_us_p50	p50 <= 0.3 us	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D04-G02	D04	G02	Context switch: p99 latency	P0	T0+T1+T2	prototype	release	specified	latency_us_p99	p99 <= 0.6 us	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D04-G03	D04	G03	Context switch: p99.9 tail latency	P0	T0+T1+T2	prototype	release	specified	latency_us_p99_9	p99.9 <= 0.9 us	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D04-G04	D04	G04	Context switch: observed maximum and WCET bound	P0	T0+T1+T2	prototype	release	specified	latency_us_max	observed max <= 1.2 us and declared bound has >= 20% evidence margin	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D04-G05	D04	G05	Context switch: jitter envelope	P0	T0+T1+T2	prototype	release	specified	latency_jitter	p99-p50 <= 0.3 us and run-to-run p99 CV <= 5%	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D04-G06	D04	G06	Context switch: median CPU cycles	P0	T0+T1+T2	prototype	release	specified	cpu_cycles_p50	p50 <= 800 cycles	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D04-G07	D04	G07	Context switch: p99 CPU cycles	P0	T0+T1+T2	prototype	release	specified	cpu_cycles_p99	p99 <= 1500 cycles	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D04-G08	D04	G08	Context switch: microarchitectural efficiency	P0	T0+T1+T2	prototype	release	specified	instructions_branch_cache	retired instructions <= 3000; branch misses <= 1%; L1D misses <= 3%	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D04-G09	D04	G09	Context switch: image and feature footprint	P0	T0+T1+T2	prototype	release	specified	image_bytes	feature code plus read-only data delta <= 12 KiB	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D04-G10	D04	G10	Context switch: peak working memory	P0	T0+T1+T2	prototype	release	specified	working_memory_kib	peak OS-owned working memory for work unit <= 8 KiB	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D04-G11	D04	G11	Context switch: steady-state allocation count	P0	T0+T1+T2	prototype	release	specified	allocations_per_operation	heap allocations per steady-state work unit = 0; pool claims are separately counted	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D04-G12	D04	G12	Context switch: allocation and reclamation latency	P0	T0+T1+T2	prototype	release	specified	allocation_latency_us_max	setup or pool allocation max <= 1.2 us; reclamation is bounded	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D04-G13	D04	G13	Context switch: queue residence p99	P0	T0+T1+T2	prototype	release	specified	queue_wait_us_p99	enqueue-to-service p99 <= 2 us	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D04-G14	D04	G14	Context switch: queue processing maximum	P0	T0+T1+T2	prototype	release	specified	queue_service_us_max	service-start-to-completion max <= 5 us	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D04-G15	D04	G15	Context switch: sustained throughput floor	P0	T0+T1+T2	prototype	release	specified	throughput_per_second	sustained throughput >= 1000000 work units/s where hardware transport is excluded as documented	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D04-G16	D04	G16	Context switch: burst and backpressure safety	P0	T0+T1+T2	prototype	release	specified	burst_recovery	2x throughput floor for 10 s; bounded queue; safety work completes <= 1.2 us	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D04-G17	D04	G17	Context switch: cold start latency	P0	T0+T1+T2	prototype	release	specified	cold_start_ms	cold start <= 1 ms with caches and device state reset as specified	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D04-G18	D04	G18	Context switch: warm restart and reuse latency	P0	T0+T1+T2	prototype	release	specified	warm_start_us	warm restart or reuse <= 2 us	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D04-G19	D04	G19	Context switch: isolation under competing load	P0	T0+T1+T2	prototype	release	specified	loaded_degradation	p99 degradation <= 5%; max degradation <= 10%; hard deadline misses = 0	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D04-G20	D04	G20	Context switch: security denial cost and safety	P0	T0+T1+T2	prototype	release	specified	denial_latency_and_state	denied or malformed work completes <= 0.75 us; state changes = 0; allocations = 0	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D04-G21	D04	G21	Context switch: exhaustion and fault containment	P0	T0+T1+T2	prototype	release	specified	fault_completion	fault decision and containment <= 1.2 us; leaks deadlocks and unsafe retries = 0	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D04-G22	D04	G22	Context switch: 72-hour soak stability	P0	T0+T1+T2	prototype	release	specified	soak_drift	72 h: hard deadline misses = 0; memory growth = 0; p99 drift <= 5%; unexpected safe-state transitions = 0	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D04-G23	D04	G23	Context switch: spoor observability overhead	P0	T0+T1+T2	prototype	release	specified	observability_overhead	spoor enabled adds <= 2% p99 and <= 2% CPU cycles; allocations = 0; torn records = 0	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D04-G24	D04	G24	Context switch: same-hardware Linux advantage	P0	T0+T1+T2	prototype	claim	specified	linux_comparison_ratio	to claim superiority: TinyOS p99 <= 0.5x Linux PREEMPT_RT and <= 0.25x vanilla Linux; footprint <= 0.1x	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D04-G25	D04	G25	Context switch: same-hardware ten-times RTOS claim	P0	T0+T1+T2	prototype	claim	specified	rtos_comparison_ratio	to claim 10x: named primary metric improvement >= 10.0x versus median of at least 3 current RTOS baselines with equivalent safety	All task-visible register protection and address-space state is preserved without cross-task leakage
PERF-D05-G01	D05	G01	Ready queue and dispatch: median latency	P1	T0+T1+T2	prototype-cooperative	release	specified	latency_us_p50	p50 <= 0.2 us	No blocked or lower-priority task runs ahead of a ready higher-priority safety task
PERF-D05-G02	D05	G02	Ready queue and dispatch: p99 latency	P1	T0+T1+T2	prototype-cooperative	release	specified	latency_us_p99	p99 <= 0.4 us	No blocked or lower-priority task runs ahead of a ready higher-priority safety task
PERF-D05-G03	D05	G03	Ready queue and dispatch: p99.9 tail latency	P1	T0+T1+T2	prototype-cooperative	release	specified	latency_us_p99_9	p99.9 <= 0.6 us	No blocked or lower-priority task runs ahead of a ready higher-priority safety task
PERF-D05-G04	D05	G04	Ready queue and dispatch: observed maximum and WCET bound	P1	T0+T1+T2	prototype-cooperative	release	specified	latency_us_max	observed max <= 0.8 us and declared bound has >= 20% evidence margin	No blocked or lower-priority task runs ahead of a ready higher-priority safety task
PERF-D05-G05	D05	G05	Ready queue and dispatch: jitter envelope	P1	T0+T1+T2	prototype-cooperative	release	specified	latency_jitter	p99-p50 <= 0.2 us and run-to-run p99 CV <= 5%	No blocked or lower-priority task runs ahead of a ready higher-priority safety task
PERF-D05-G06	D05	G06	Ready queue and dispatch: median CPU cycles	P1	T0+T1+T2	prototype-cooperative	release	specified	cpu_cycles_p50	p50 <= 500 cycles	No blocked or lower-priority task runs ahead of a ready higher-priority safety task
PERF-D05-G07	D05	G07	Ready queue and dispatch: p99 CPU cycles	P1	T0+T1+T2	prototype-cooperative	release	specified	cpu_cycles_p99	p99 <= 900 cycles	No blocked or lower-priority task runs ahead of a ready higher-priority safety task
PERF-D05-G08	D05	G08	Ready queue and dispatch: microarchitectural efficiency	P1	T0+T1+T2	prototype-cooperative	release	specified	instructions_branch_cache	retired instructions <= 1800; branch misses <= 1%; L1D misses <= 3%	No blocked or lower-priority task runs ahead of a ready higher-priority safety task
PERF-D05-G09	D05	G09	Ready queue and dispatch: image and feature footprint	P1	T0+T1+T2	prototype-cooperative	release	specified	image_bytes	feature code plus read-only data delta <= 24 KiB	No blocked or lower-priority task runs ahead of a ready higher-priority safety task
PERF-D05-G10	D05	G10	Ready queue and dispatch: peak working memory	P1	T0+T1+T2	prototype-cooperative	release	specified	working_memory_kib	peak OS-owned working memory for work unit <= 16 KiB	No blocked or lower-priority task runs ahead of a ready higher-priority safety task
PERF-D05-G11	D05	G11	Ready queue and dispatch: steady-state allocation count	P1	T0+T1+T2	prototype-cooperative	release	specified	allocations_per_operation	heap allocations per steady-state work unit = 0; pool claims are separately counted	No blocked or lower-priority task runs ahead of a ready higher-priority safety task
PERF-D05-G12	D05	G12	Ready queue and dispatch: allocation and reclamation latency	P1	T0+T1+T2	prototype-cooperative	release	specified	allocation_latency_us_max	setup or pool allocation max <= 0.8 us; reclamation is bounded	No blocked or lower-priority task runs ahead of a ready higher-priority safety task
PERF-D05-G13	D05	G13	Ready queue and dispatch: queue residence p99	P1	T0+T1+T2	prototype-cooperative	release	specified	queue_wait_us_p99	enqueue-to-service p99 <= 5 us	No blocked or lower-priority task runs ahead of a ready higher-priority safety task
PERF-D05-G14	D05	G14	Ready queue and dispatch: queue processing maximum	P1	T0+T1+T2	prototype-cooperative	release	specified	queue_service_us_max	service-start-to-completion max <= 10 us	No blocked or lower-priority task runs ahead of a ready higher-priority safety task
PERF-D05-G15	D05	G15	Ready queue and dispatch: sustained throughput floor	P1	T0+T1+T2	prototype-cooperative	release	specified	throughput_per_second	sustained throughput >= 1500000 work units/s where hardware transport is excluded as documented	No blocked or lower-priority task runs ahead of a ready higher-priority safety task
PERF-D05-G16	D05	G16	Ready queue and dispatch: burst and backpressure safety	P1	T0+T1+T2	prototype-cooperative	release	specified	burst_recovery	2x throughput floor for 10 s; bounded queue; safety work completes <= 0.8 us	No blocked or lower-priority task runs ahead of a ready higher-priority safety task
