behaviour	msdos	linux	windows_terminal	tinyos_decision	status	evidence	perf
verb:echo	ECHO ON/OFF flag (default ON); ECHO alone prints "ECHO is on/off"; ECHO text prints raw line from offset 82h preserving case/spacing; @ prefix suppresses; pipes force echo off	POSIX echo: -n, escape handling varies (famously non-portable)	n/a	canonical echo; batch echo semantics stay DOS-flavoured (.TCB inheritance); untrusted expansion output is rendered inert before display (EPIC-P2 6.5 rule 3)	spec-level	external/MsDOS v4.0/src/CMD/COMMAND/TUCODE.ASM:250-320, COMEQU.ASM:17, TPIPE.ASM:212	PERF-D23
verb:clear-screen	CLS: probes INT 2F for ANSI.SYS -- if installed emits ESC[2J; if stdout redirected emits the ANSI string into the file; else INT 10h scroll+cursor-home	clear/tput clear: emits terminfo sequence (ESC[H ESC[2J or E3 variant)	terminal interprets ED sequences in the VT parser	canonical clear-screen; emitted as a VT sequence interpreted by the tab host renderer -- never direct video access from a session (the tab is not the screen owner, EPIC-P2 6)	spec-level	external/MsDOS v4.0/src/CMD/COMMAND/TCMD2A.ASM:401-470, TDATA.ASM:253	PERF-D23,TG-P08
verb:version-info	VER: "Microsoft DOS             Version %1.%2"; no switches	uname -a / os-release	n/a	canonical version-info; reports TinyOS version + build provenance (subset of uname -a)	spec-level	external/MsDOS v4.0/src/CMD/COMMAND/TCMD2A.ASM:87-105	PERF-D23
verb:volume-info	VOL: "Volume in drive %1 is %2" / "has no label" + "Volume Serial Number is %1-%2"; LABEL is a separate external command	df: mount table, sizes, use%	n/a	canonical volume-info; reports TinyOS storage/partition info, not a POSIX mount table (cli-compatibility-mvp). Blocked hardest by LE-48: no filesystem exists	spec-level	external/MsDOS v4.0/src/CMD/COMMAND/TCMD1B.ASM:474-500; LE-48	PERF-D23,PERF-D14
verb:mem-info	MEM: /PROGRAM /DEBUG; address/name/size/type table; "%1 bytes total memory" summary lines	free / /proc/meminfo	n/a	canonical mem-info; reports RT memory POOL usage (Design Pillar 1), not a general heap -- the DOS table shape (name/size/type rows + summary) is the adopted output model	spec-level	external/MsDOS v4.0/src/CMD/MEM/MEM.C:10-18,306-312,1587-1604, MEM.SKL	PERF-D23
verb:task-list	no DOS analog in 4.0 (confirmed: nothing in COMTAB or CMD/ externals)	ps / top	n/a	new canonical verb backed by the ACI-visible RT task table; DOS flavour gets a TASKMGR-style command by convention; TASKMGR full-screen view is a TAB, not an app (EPIC-P2 6)	spec-level	external/MsDOS v4.0/src/CMD/COMMAND/TDATA.ASM:280-352; docs/cli-compatibility-mvp.md	PERF-D23,PERF-D10
verb:task-kill	no DOS analog in 4.0	kill/signal model	n/a	new canonical verb; ACI-gated; RT-critical tasks require supervisor scope, never operator (cli-compatibility-mvp Safety)	spec-level	docs/cli-compatibility-mvp.md; SECURITY_CHARTER.md	PERF-D23,PERF-D10
window:buffer-renderer-seam	single synchronous path: INT 10h/BIOS teletype writes straight into the text-mode video buffer; the writer IS the renderer; a slow screen blocks the program	kernel VT: tty line discipline + console driver, still largely synchronous; GUI terminals decouple via pty	TextBuffer decoupled from Renderer: writer calls NotifyPaintFrame() -- a relaxed atomic store, never a wait; render thread coalesces N writes into one frame ("picked up and ignored. We're about to render a frame after all")	REQUIRED, not optional: a renderer that can be starved independently of the buffer, because 6.6's drop-frames-not-block obligation is inexpressible without the seam (LE-53(b) promoted this from "worth copying" to requirement)	spec-level	external/WindowsTerminal src/renderer/base/renderer.cpp:120-124,399-403; src/buffer/out/textBuffer.hpp:344; goals/epics/EPIC-P2.md 6.4/6.6; LE-53	TG-P03,TG-P04
window:frame-pacing	none: every write paints immediately; no frame concept	compositor/terminal dependent	render thread throttles itself (~60FPS Sleep(8)) OUTSIDE the console lock; GPU backpressure absorbed by frame-latency waitable object, also outside the lock; renderer failure backs off and disables rather than aborting	tab host and GUI mode run BELOW the real-time floor, preemptible, drop frames rather than block, and a dropped frame is REPORTED as dropped (6.6) -- stronger than WT, which drops silently by design	spec-level	external/WindowsTerminal src/renderer/base/RenderEngineBase.cpp:89-95; src/renderer/atlas/AtlasEngine.r.cpp:436-449; goals/epics/EPIC-P2.md 6.6	TG-P04
window:scrollback	none: scrolled-off text is gone (BIOS scroll discards)	VT softscroll historically; GUI terminals hold history	circular buffer sized viewport+scrollbackLines at creation (no growth); when full the oldest row is recycled in place, O(1), no allocation ("infinite scrollback" is an open upstream TODO)	bounded fixed-capacity scrollback per the capacities doctrine (no unbounded growth on an RT system); WT's fixed-allocation circular buffer is the adopted shape; serial capture remains the unbounded record	spec-level	external/WindowsTerminal src/cascadia/TerminalCore/Terminal.cpp:318; src/buffer/out/textBuffer.cpp:728-746	TG-P05
window:resize-reflow	fixed 80x25 (mode change = clear); no reflow concept	VT: no reflow; GUI terminals vary	full out-of-place reflow: contents copied old->new buffer, wrap flags re-evaluated, cursor remapped; alt-buffer resize deferred until return to main buffer	adopt reflow-on-resize for the tab host as interaction model; bounded work obligation applies (a reflow is O(buffer), schedulable below the RT floor, preemptible)	spec-level	external/WindowsTerminal src/buffer/out/textBuffer.cpp:2718-2947; src/cascadia/TerminalCore/Terminal.cpp:292-350	TG-P06
window:wrapping	BIOS teletype wraps at column 80 and scrolls; no wrap-state memory	VT wraps with deferred-wrap (VT100 quirk); reflow absent	per-row wrap flags stored in the buffer (re-evaluated on reflow) -- wrapping is buffer state, not just cursor behaviour	wrap state lives in the buffer so reflow and serial capture agree; deferred-wrap VT quirk honoured by the VT interpreter for compatibility	spec-level	external/WindowsTerminal src/buffer/out/Row.hpp; src/buffer/out/textBuffer.cpp:2703-2717	TG-P06,TG-P08
window:vt-ansi	optional: ANSI.SYS device driver; COMMAND probes for it per-command (CLS); most output is BIOS calls, not sequences	VT/ANSI is the native console language; terminfo abstracts	full VT FSM (Ground/Escape/CSI/OSC/DCS states, dedicated fuzzers); semantic dispatch layer; sixel, soft fonts, macros	VT/ANSI is the tab-session transport language (serial log = same bytes); UNTRUSTED TEXT IS RENDERED INERT before display -- filenames carrying escape sequences must not move the cursor or repaint the trusted region (6.5 rule 3, the test plants escapes in a filename)	spec-level	external/MsDOS v4.0/src/CMD/COMMAND/TCMD2A.ASM:401-470; external/WindowsTerminal src/terminal/parser/stateMachine.hpp:58-166; goals/epics/EPIC-P2.md 6.5	TG-P07,TG-P08
window:input-pipeline	INT 21h buffered input straight to the program; Ctrl-C polled by DOS; no host layer; any TSR sees everything	kernel delivers to foreground pty; SAK (Alt+SysRq+K) exists but is root-oriented	host intercepts BEFORE the app: Ctrl-C never enters the input buffer (signal path is separate and async), host-owned shortcuts checked first, keybindings dispatched before TrySendKeyEvent; but NO trusted path -- tab content can paint anything	a reserved window region NO tab content can ever paint + a secure-attention key handled by the host before any tab sees input + input routed to the focused tab only (6.3). WT's interception ORDER is the adopted shape; the trusted path is the part WT does not have and TinyOS must design	spec-level	external/WindowsTerminal src/host/input.cpp:100-181; src/cascadia/TerminalControl/TermControl.cpp:1571-1815; goals/epics/EPIC-P2.md 6.3	TG-P01,TG-P10
window:tab-authority	single session, no tabs; every program has the machine	terminal tabs share the user's uid; no boundary	explicit counter-example: every tab inherits the user's full access token; opening a tab is free; WT does not claim to be a security boundary	a tab IS an authority boundary: own ACI session identity, own flavour, own audit actor; no tab enumerates or acts for another; closing transfers nothing (6.1). Take WT's interaction model, never its authority model (6.4)	spec-level	goals/epics/EPIC-P2.md 6.1/6.4; external/WindowsTerminal src/cascadia/	TG-P09,TG-P10
window:clipboard	none	X selections/clipboard, no label model	clipboard shared across tabs freely	copy/paste/drag between tabs are cross-session transfers in the same class as COPY/MOVE: G-SEC-5 labels survive, quarantine travels with pasted content; a label-stripping clipboard is a laundering path (6.2)	spec-level	goals/epics/EPIC-P2.md 6.2; SECURITY_CHARTER.md G-SEC-5	PERF-D23
window:pty-seam	none: programs write the screen directly; redirection exists only for handles	pty is the universal seam; termios	ConPTY: double-buffered async VT bridge -- conhost never blocks on the terminal draining the pipe (front/back buffers + OVERLAPPED WriteFile, ERROR_IO_PENDING)	the tab-session transport is the same seam class: session produces VT bytes, host buffers and renders; producer never gated on the renderer (composes with window:buffer-renderer-seam); serial fixtures are the degenerate one-way case today	spec-level	external/WindowsTerminal src/winconpty/winconpty.cpp:119-471; src/host/VtIo.hpp:93-102, VtIo.cpp:435-555	TG-P03
transport:serial-asymmetry	n/a	bidirectional serial consoles are standard (getty on ttyS0)	n/a (ConPTY is bidirectional)	TODAY: TinyOS serial is TX-only -- hal-x86_64 serial.rs implements write_byte/write_bytes only, no RX path exists, no fixture reads input; the Stage E console's send_line verb resolves through the signed manifest and then reports the one-way transport honestly. Bidirectional serial is prerequisite to every live row in this register	live-verified	os/src/hal-x86_64/src/serial.rs; stage E smoke evidence in REPORT-2026-07-29-04; LE-55	TG-P02,TG-P03
verb:spoor-journal	no DOS analog in 4.0 (COMTAB has no audit-journal command; the OS keeps no audit trail at all)	ausearch / journalctl -- separate audit-query tools, not shell builtins; no POSIX shell verb renders the kernel audit stream	n/a	new canonical verb bound to SPOOR (DOS flavour): renders the session-visible spoor journal oldest-first as deterministic fixed-width columns (# CATEGORY ACTOR ACTION OUTCOME TARGET COST); first line names the journal source ("Spoor journal (<source>):"); an empty journal answers "No spoors journaled"; the shell core renders from an injected SpoorView so it stays kernel-free -- the parity lane (host golden and QEMU fixture alike) injects the policy-seam denial journal, host tabs inject their own view and say host-side journal (honest, not blurred); ACI-gated deny-by-default like every verb (LE-56, hand-2026-07-30/04A section 1.6)	live-verified	os/src/shell/golden/parity-smoke.golden.txt; TEST-P2-07-01-A; LE-56	PERF-D23
