feature_id	implementation_classes	subject_classes	authority_posture	hostile_inputs	boundary_tests	protection_domain_contracts	code_admission_gates	required_boundary_evidence
FEAT-P9-03	C0	C0,C1	A primitive transforms bytes and decides nothing authentication failure refuses rather than best-effort decrypts	Tampered tags ciphertexts and additional data replayed nonces and adversarial key and length inputs	BND-01,BND-02,BND-17	PD-08,PD-12	RCG-13,RCG-14	Published test vectors adversarial tamper refusals zero allocation on every path and a measured budget with constant-time structure argued
FEAT-P9-04	C0	C0,C1	Unseal releases bytes only and confers no capability class or priority and a refused unseal is reported never silently substituted	Modified kernel images forged measurements unreachable or lying TPMs and forced-downgrade attempts	BND-01,BND-02,BND-17,BND-20	PD-03,PD-11,PD-14	RCG-05,RCG-06	A measured boot that unseals a one-byte-modified image that does not a cross-machine inert blob and an adversarially forced downgrade
FEAT-P9-05	C0	C0,C1	A derived key reads only what its holder was already entitled to read and per-surface separation bounds any compromise	Dumps taken during derivation cross-surface key reuse attempts and stale-generation key replay	BND-02,BND-17,BND-20	PD-11,PD-13	RCG-13,RCG-14	Derivation divergence across machine process surface and generation externally verified wipe and a hardware-measured derivation budget
FEAT-P9-06	C0	C0,C1,C2	Authentication failure propagates into the existing fault path and never yields plaintext or a partial result	Relocated ciphertext blocks replayed prior-generation blocks and adversarially compressed content probing the size channel	BND-04,BND-05,BND-17	PD-04,PD-12,PD-13	RCG-10,RCG-11	Ciphertext at rest confirmed by dump scan relocation and replay both refused and D04 D05 parity held as a hard gate
FEAT-P9-07	C0	C0,C1,C2	Enablement changes what an external observer can read and changes nothing about what any subject may do	Absent or lying memory-encryption engines hypervisor and co-tenant observation and attestation spoofing	BND-01,BND-17,BND-20	PD-01,PD-10,PD-14	RCG-12,RCG-13	Activation confirmed by read-back an externally taken ciphertext dump honest attestation of degraded states and documented accepted risk where absent
FEAT-P9-08	C0	C0,C1,C2	Where a process lands changes nothing about what it may do and randomization is salt diversity never secrecy	Scanning analysts correlating relocated images and blind runtime corruption attempts predicting addresses	BND-04,BND-14,BND-17	PD-01,PD-11,PD-14	RCG-10,RCG-12	Measured entropy of base and process id reduced dump-scan hits against the recorded baseline and preserved D04 D05 baselines
FEAT-P1-07	C0,C1	C0,C1	Bring-up runs at EL1 with no task authority to confer and firmware handoff state is recorded as evidence never retained as authority	Firmware handoff register state the device-tree blob pointer the entry exception level unprogrammed or absurd CNTFRQ_EL0 and PMU register values UART receive bytes and host-side serial capture text	BND-01,BND-02,BND-03,BND-17	PD-07,PD-12,PD-14	RCG-01,RCG-13,RCG-14	Serial-captured handoff with no retained firmware authority a decoded ESR_EL1 from a deliberately induced fault before-and-after evidence that caches are actually enabled and a hardware TINYOS-MEAS envelope parsed by an unchanged host parser
FEAT-P2-01	C1,C2	C2,C3	Every verb resolves through one deny-by-default policy seam with session-derived identity and empty ambient authority	Attacker-influenced command arguments traversal paths oversized names and escape-sequence-bearing strings	BND-14,BND-17,BND-20	PD-02,PD-03,PD-05,PD-14	RCG-12,RCG-13,RCG-14	Denied verbs audited with session identity untrusted strings rendered inert and deterministic output demonstrated at Tier 0
FEAT-P2-02	C1,C2	C2,C3	Storage reached only through per-session volume capability with G-SEC-5 labels carried and never strippable	Adversarial file names traversal attempts label-stripping copy and rename chains and capacity exhaustion	BND-13,BND-17,BND-20	PD-03,PD-07,PD-08,PD-14	RCG-12,RCG-13,RCG-14	Label propagation under copy move rename demonstrated exhaustion refused cleanly and traversal refused at Tier 0
FEAT-P2-04	C1,C2	C2,C3,C4	The parser holds no authority and produces requests the core authorises so a parser defect is a wrong request never a bypass	Malformed switch soup unterminated quotes percent-expansion bombs raw control bytes and over-length lines	BND-14,BND-17,BND-20	PD-02,PD-03,PD-05,PD-12,PD-14	RCG-12,RCG-13,RCG-14	Parser totality over an adversarial corpus with register-shape refusals and no panic demonstrated at Tier 0
FEAT-P2-07	C1,C2	C2,C3,C4	A batch spends only its session authority and every line passes the same core authorisation as an interactive line	Adversarial TCB bytes ungranted verbs escape-sequence payloads unbounded line counts and lengths and quarantined batch content	BND-13,BND-14,BND-17,BND-20	PD-02,PD-03,PD-05,PD-14	RCG-12,RCG-13,RCG-14	Denied line refused audited and continued quarantined batch refused outright and golden-transcript parity gate green at Tier 0
FEAT-P1-08	C1	C2,C3	Frame validation decides acceptance only and conveys no authority while transports carry data never capability and recovery from fault is an explicit gated action	Feedback process images epoch sequences validity masks quality flags per-sample identities and staged command frames from a compromisable transport	BND-03,BND-14,BND-15,BND-17	PD-05,PD-07,PD-08,PD-12	RCG-01,RCG-13,RCG-14	Whole-epoch rejection on every invalid arm atomic all-or-nothing staging single-use commit tokens late-commit fail-closed and fixed-capacity allocation-free frames
