guardrail_id	domain	story_id	evidence_kind	evidence_path	platform_id	irq_state	core_count	image_kind	recorded_in	note
PERF-D09-G20	D09	STORY-P0-05-01	measured	goals/reports/REPORT-2026-07-28-09.md	unrecorded	unrecorded	unrecorded	unrecorded	2026-07-28	Denial path measured at Tier 0 against the real blue-sharc.txe: max 104298 cycles = 45.2 us over 600 samples in three runs, a 2.8x margin under the 125 us budget. State changes = 0 (pe::parse is pure, and the fixture asserts an identical PeError across all 200 iterations rather than merely a repeated failure). Allocations = 0, inherited from the compiler-enforced no-heap property STORY-P0-01-05 recorded for G11. All three of the gate conditions met; the accept path is a separate metric and closes nothing
PERF-D04-G01	D04	STORY-P1-07-06	measured	goals/reports/REPORT-2026-08-04-01.md	rpi5-bcm2712	unrecorded	unrecorded	unrecorded	2026-08-04	Context switch median measured ON SILICON (Raspberry Pi 5, BCM2712 Cortex-A76, Tier 1, BOARD VERDICT 7, kernel 619f40b8c076): context_switch_yield_roundtrip_2switches p50 = 80 cycles, n=1000 dropped=0 warmup=100, caches on, IRQs masked inside the measured region, cores 1-3 parked. THE FIGURE IS FOR A ROUND TRIP OF TWO SWITCHES and must not be quoted as one switch. RECORDED AS EVIDENCE THAT A MEASUREMENT EXISTS, NEVER THAT A THRESHOLD HELD: this is a bring-up run, not a release-gate run in a declared deployment profile, and the register cannot express a pass. Two caveats travel with the number: the metric is UNBATCHED and therefore carries the unquantified calibration residue LE-24 identified and BOARD VERDICT 7 confirmed on silicon (the batched D07 twin reads HIGHER than its unbatched form for the identical operation), and BOARD VERDICT 9 measured ~3% build-to-build movement on untouched code paths, so no figure here may be quoted to better than ~3%
PERF-D04-G02	D04	STORY-P1-07-06	measured	goals/reports/REPORT-2026-08-04-01.md	rpi5-bcm2712	unrecorded	unrecorded	unrecorded	2026-08-04	Context switch p99 measured on silicon, same run as PERF-D04-G01: p99 = 80 cycles over n=1000. min=80 max=80 -- the distribution is flat to the cycle across the whole sample, which is a statement about a single-core machine with interrupts masked and NOT about behaviour under load; no competing load ran. Evidence that it was measured, not that a threshold held
PERF-D04-G03	D04	STORY-P1-07-06	measured	goals/reports/REPORT-2026-08-04-01.md	rpi5-bcm2712	unrecorded	unrecorded	unrecorded	2026-08-04	Context switch p99.9 measured on silicon, same run: p99.9 = 80 cycles over n=1000. NOTE THE SAMPLE SIZE AGAINST THE STATISTIC -- the measurement protocol asks for >=1,000,000 operations before a p99.9 is meaningful and this is n=1000, so the tail is under-sampled by three orders of magnitude and this row records a measurement, not a characterised tail. Filed so the gap is visible rather than absent
PERF-D05-G01	D05	STORY-P1-07-06	measured	goals/reports/REPORT-2026-08-04-01.md	rpi5-bcm2712	unrecorded	unrecorded	unrecorded	2026-08-04	Ready-queue and dispatch median measured ON SILICON (Tier 1, BOARD VERDICT 7): dispatch_select_highest_priority_ready p50 = 1532 cycles and dispatch_run_once_cooperative_round p50 = 1636 cycles, n=1000 dropped=0 warmup=100. Cooperative dispatch only -- no preemption, one core, no EL0 -- which is what D05 readiness prototype-cooperative already says. Unbatched, so the LE-24 residue caveat applies; ~3% build-to-build variation per BOARD VERDICT 9. Evidence of measurement, never of a threshold
PERF-D05-G02	D05	STORY-P1-07-06	measured	goals/reports/REPORT-2026-08-04-01.md	rpi5-bcm2712	unrecorded	unrecorded	unrecorded	2026-08-04	Ready-queue and dispatch p99 measured on silicon, same run: dispatch_select p99 = 1532, dispatch_run_once p99 = 1636 cycles over n=1000. No competing load ran, so this describes an idle single-core machine and says nothing about the 90%-competing-load isolation the domain's own release gates require
PERF-D05-G03	D05	STORY-P1-07-06	measured	goals/reports/REPORT-2026-08-04-01.md	rpi5-bcm2712	unrecorded	unrecorded	unrecorded	2026-08-04	Ready-queue and dispatch p99.9 measured on silicon, same run: dispatch_select p99.9 = 1532, dispatch_run_once p99.9 = 1636 cycles. Same under-sampling caveat as PERF-D04-G03: n=1000 against a protocol asking >=1,000,000 for a p99.9. A measurement exists; a characterised tail does not
PERF-D07-G01	D07	STORY-P1-07-06	measured	goals/reports/REPORT-2026-08-04-01.md	rpi5-bcm2712	unrecorded	unrecorded	unrecorded	2026-08-04	Static pool allocation median measured ON SILICON (Tier 1, BOARD VERDICT 7): pool_u64x64_alloc_free_round_trip_per_op_of_8 p50 = 480 cycles/op, n=1000 dropped=0 warmup=100. THE BATCHED TWIN IS THE QUOTABLE ONE and the unbatched 374-383 must not be quoted as a result -- batching cannot make an operation slower, so the ~100-cycle gap is calibration residue the unbatched shape was silently crediting to the pool. That is LE-24's thesis observed on hardware rather than argued from arithmetic, and it is why this row cites the batched metric. Evidence of measurement, not of a threshold
PERF-D07-G02	D07	STORY-P1-07-06	measured	goals/reports/REPORT-2026-08-04-01.md	rpi5-bcm2712	unrecorded	unrecorded	unrecorded	2026-08-04	Static pool allocation p99 measured on silicon, same run: pool_..._per_op_of_8 p99 = 480 cycles/op over n=1000. The denial path is a separate metric (pool_u64x4_alloc_denied_exhausted_per_op_of_64, p50 499) and closes nothing here
PERF-D07-G03	D07	STORY-P1-07-06	measured	goals/reports/REPORT-2026-08-04-01.md	rpi5-bcm2712	unrecorded	unrecorded	unrecorded	2026-08-04	Static pool allocation p99.9 measured on silicon, same run: pool_..._per_op_of_8 p99.9 = 480 cycles/op. Same n=1000 under-sampling caveat as the other tail rows -- recorded as a measurement that exists, not as a tail that has been characterised
PERF-D07-G11	D07	STORY-P1-10-02	structural	goals/reports/REPORT-2026-08-04-01.md	n-a	n-a	n-a	n-a	2026-08-05	No heap exists: every shipped crate is no_std with no global_allocator and no alloc outside cfg(test), enforced by check-assurance-spine. Stronger than the guardrail asks -- zero allocations in every state, not only steady state. Filed for the spoor drain specifically because STORY-P1-10-02 criterion 4 requires that the drain never allocate, and the compiler-enforced property is what discharges it: the gate exists so that adding an allocator withdraws this evidence loudly instead of invalidating it silently
PERF-D07-G11	D07	STORY-P1-10-04	structural	goals/reports/REPORT-2026-08-04-01.md	n-a	n-a	n-a	n-a	2026-08-05	No heap exists: every shipped crate is no_std with no global_allocator and no alloc outside cfg(test), enforced by check-assurance-spine. Filed for the retained boot certificate because STORY-P1-10-04 criterion 6 requires a fixed-size buffer that fills once and never grows; the no-heap property is what makes 'never grows' structural rather than a promise, and BOARD VERDICT 11-14 observed thousands of repeating park rungs across records 74..1738 displacing none of the three the boot established
PERF-D07-G23	D07	STORY-P1-10-02	measured	goals/reports/wire-meas-envelope-2026-08-06.txt	rpi5-bcm2712	unrecorded	unrecorded	unrecorded	2026-08-06	THE RATIO IS NOW COMPUTED AND IT DOES NOT MEET THE TARGET. Target: spoor enabled adds <= 2% p99 and <= 2% CPU cycles; allocations = 0; torn records = 0. MEASURED ON SILICON 2026-08-06, BOTH ARMS IN ONE BOOT (Raspberry Pi 5, Tier 1, kernel8.img sha256 05f3495c3352176f01b7ae3f2a06ec1dd42f0a7efd488e8bb551fce25454e085, envelope harvested off the wire and parsed by the UNCHANGED xtask parser, metrics=12): pool_u64x64_alloc_free_round_trip_per_op_of_8 p99 = 479 cycles/op with spoor DISABLED, and the byte-identical loop plus one stamp per round trip p99 = 604 cycles/op ENABLED. Delta 125 cycles/op = +26.1 percent against a 2 percent allowance. THIS IS A FAIL BY MORE THAN 13x AND IS RECORDED AS ONE. Two clauses do hold: allocations = 0 is compiler-enforced, and torn records = 0 was observed across 160+ records at 0 refused 0 lost with the sequence unbroken. READ THE DENSITY BEFORE QUOTING THE 26 PERCENT: the enabled arm stamps ONCE PER POOL OPERATION, the deliberate worst case and not a realistic instrumentation density, so the figure over-states overhead rather than flattering it. The useful derived result is what the gate actually constrains: 2 percent of 479 cycles is 9.6 cycles and a stamp costs 137 (p50, same boot), so the budget admits ONE STAMP PER ~14 POOL OPERATIONS. G23 is a constraint on instrumentation DENSITY, not on stamp cost, and nothing in this project had said so because until 2026-08-06 no percentage could be computed at all -- every spoor cost on record was absolute, which is 09A section 5's finding. Both arms in ONE boot deliberately: BOARD VERDICT 9 measured ~3 percent build-to-build movement on untouched code paths, larger than the 2 percent allowance, so a pair from two runs could not answer the question AND THE SHIPPING DENSITY IS NOW COUNTED RATHER THAN GUESSED (2026-08-06, by reading the park loop, no board needed). The budget above admits one stamp per ~14 pool operations; what the shipping park loop actually does is stamp about FIVE TIMES PER SECOND. hal_arm64::ethernet's loop waits 100 ms per tick and runs the stamping body only on every tenth tick, so the beat is 1 Hz, and one beat stamps ParkIteration, ThermalSample, BeaconTransmitted when beaconing, and at most two more inside tinyos_dispatch_round -- about five stamps of 137 cycles, so ~685 cycles per second on a 2.4 GHz core, under one part in three million of CPU time. THE BEAT ALSO CONTAINS NO POOL TRAFFIC AT ALL, so the ratio this gate measures has no denominator in the shipping path: the 26.1 percent is a property of the fixture's deliberate one-stamp-per-operation arm and not of any code that ships. That does not soften the fail -- the gate asks what instrumentation costs when it is dense and the answer is 26 percent -- but it fixes what the number is FOR: it is a budget for whoever next puts a stamp inside a hot loop (14 operations per stamp), not a description of today's overhead, which is four orders of magnitude below it. Nothing here is a new measurement; it is the same 137-cycle stamp read against a density counted from the source. SOURCE CLAUSE (LE-111, 2026-08-07): the 137 figure is quoted from the metrics=12 capture (wire-meas-envelope-2026-08-06.txt), the boot on which this metric still carried its pre-LE-91 D07 label; the metrics=14 spoor-pairs capture and the wire as passively re-read on 2026-08-07 while that boot was still running both read p50=136 for the same fixture on the same silicon -- the same boot re-read after the relabel, ~0.7 percent apart, inside BOARD VERDICT 9's ~3 percent build-to-build movement. Not re-measured on purpose: a third capture would add a third number and settle nothing
PERF-D03-G20	D03	STORY-P1-06-01	refused	goals/reports/REPORT-2026-07-29-02.md	unrecorded	unrecorded	unrecorded	unrecorded	2026-08-06	NOT EVIDENCE. This row records that the gate WAS MEASURED, READ AGAINST ITS TARGET, AND DECLINED, which the register had no way to say until the evidence_kind vocabulary was closed on 2026-08-06 -- and a refused row is excluded from the published gate count by construction. Target reads: denied or malformed work completes <= 0.375 us; state changes = 0; allocations = 0. The state half holds outright -- 1100 refusals, zero writes, fixture-actuation denial_phase_writes equal before and after. The latency half does not survive its own variance: run-to-run p99 CV of 55% on the denial metric, on numbers whose absolute scale is a TCG device-model dispatch anyway. REPORT-2026-07-29-02 refused the filing in writing for that reason, and the refusal is correct: a register row is a claim about a threshold, and PERF-D09-G20's precedent was a Tier 0 filing with a 2.8x margin and a stable measurement, which this is neither. Filed now because prose the register cannot see is prose the next session re-derives or contradicts: 09A section 8 step 1 said file what already exists, and executed mechanically against this Story that instruction would have resurrected exactly the numerator inflation LE-83 was raised about. LE-85
PERF-D11-G01	D11	STORY-P1-10-02	measured	goals/reports/wire-meas-envelope-2026-08-06.txt	rpi5-bcm2712	unrecorded	unrecorded	unrecorded	2026-08-06	THE SPOOR SUBSTRATE MISSES ITS OWN MEDIAN-LATENCY GATE BY 1.9x, AND THIS IS THE FIRST TIME ANYONE READ IT AGAINST THIS TARGET. Target: p50 <= 0.03 us. Measured on silicon 2026-08-06 (Raspberry Pi 5, Tier 1, kernel8.img sha256 05f3495c3352176f01b7ae3f2a06ec1dd42f0a7efd488e8bb551fce25454e085, envelope off the wire, parsed by the unchanged xtask parser at metrics=12): spoor_stamp_park_rung_per_op_of_8 p50 = 137 cycles at cycles_per_us=2400, which is 0.0571 us. THAT IS 1.90x THE TARGET AND IS RECORDED AS THE FAIL IT IS. The number is not new -- 136 to 137 cycles has been on the wire since 2026-08-05 -- what is new is that it is labelled D11 rather than D07 and therefore read against D11's targets at last. The metric carried a D07 label because STORY-P1-10-02's contract selected only D07, so it was never compared to the gate whose subject it is; see the same Story's contract row and fixture_measure_arm64.rs. Method, stated because the verdict depends on it: the timed region is SpoorStream::stamp alone with no drain and no wire in it, the certificate is closed by an untimed first stamp so the once-per-boot retain path is not measured, eight stamps are timed per sample and divided out (SPOOR_STAMP_BATCH, LE-24), and the cycle source's calibrated overhead (43 cycles) is subtracted from the region before the division -- so at most 5 cycles of residue can be in the figure and removing every one of it still fails by 1.8x. n=1000 dropped=0 warmup=100, min 131 max 144, so the distribution is tight and the fail is not a tail artefact. SOURCE CLAUSE (LE-111, 2026-08-07): these figures are from the metrics=12 capture named in evidence_path, the boot on which this metric still carried its pre-LE-91 D07 label; the metrics=14 spoor-pairs capture and the wire as passively re-read on 2026-08-07 while that boot was still running read p50=136 (min 130, p99 141, p99_9 142, max 143) for the same fixture on the same silicon -- the same boot re-read after the relabel, and at 136/2400 = 0.0567 us the verdict is 1.89x where this row says 1.90x, so nothing moves. Not re-measured on purpose (LE-111): the ~0.7 percent difference is inside BOARD VERDICT 9's ~3 percent build-to-build movement
PERF-D11-G02	D11	STORY-P1-10-02	refused	goals/reports/wire-meas-envelope-2026-08-06.txt	rpi5-bcm2712	unrecorded	unrecorded	unrecorded	2026-08-06	NOT EVIDENCE, AND DELIBERATELY NOT COUNTED. This row records that the gate was measured, read against its target, and DECLINED because the margin is inside the measurement's own noise. Target: p99 <= 0.06 us. Measured 2026-08-06 on the same boot as PERF-D11-G01: spoor_stamp_park_rung_per_op_of_8 p99 = 143 cycles at cycles_per_us=2400 = 0.0596 us, which is UNDER the target BY 0.7 PERCENT. BOARD VERDICT 9 measured ~3 percent build-to-build movement on untouched code paths, so a 0.7 percent margin is a quarter of the movement this bench has already observed from a recompile that changed nothing: the same envelope's neighbour runs put this metric's p99 at 141 (2026-08-05) and 142 (the earlier 08-05 capture), and 142 would still pass while a run 3 percent slower would not. A verdict that flips on a rebuild is not a verdict. This is PERF-D03-G20's situation exactly -- measured, read, declined -- and it is filed rather than left in prose so that no later session re-measures it from scratch or files the pass. What would settle it: a repeated-boot campaign giving a run-to-run p99 CV for this metric, at which point the gate is decidable in whichever direction the data lands; the p50 gate above needs no such campaign because 1.9x is outside any noise this bench has shown
PERF-D11-G03	D11	STORY-P1-10-02	measured	goals/reports/wire-meas-envelope-2026-08-06.txt	rpi5-bcm2712	unrecorded	unrecorded	unrecorded	2026-08-06	The one of D11's three latency gates that is met with room to spare. Target: p99.9 <= 0.1 us. Measured on silicon 2026-08-06, same metric and same boot as G01 and G02: spoor_stamp_park_rung_per_op_of_8 p99_9 = 144 cycles at cycles_per_us=2400 = 0.0600 us, 40 percent under the target and 39 percent clear of the ~3 percent build-to-build movement BOARD VERDICT 9 measured -- so unlike G02 this verdict survives a rebuild and is filed as a pass rather than refused. Read the three gates together rather than separately: the distribution is extremely tight (min 131, p50 137, p99 143, p99_9 144, max 144, n=1000 dropped=0), so the substrate's problem is not its tail, it is its median. A tail gate passing while the median gate fails by 1.9x says the stamp is consistently expensive rather than occasionally so, which is the more tractable of the two shapes: there is no rare path to hunt, only a hot path to make cheaper. SOURCE CLAUSE (LE-111, 2026-08-07): the quoted distribution is the metrics=12 capture's, the boot on which this metric still carried its pre-LE-91 D07 label; the metrics=14 spoor-pairs capture and the wire as passively re-read on 2026-08-07 while that boot was still running read min 130 p50 136 p99 141 p99_9 142 max 143 for the same fixture on the same silicon -- the same boot re-read after the relabel, and at 142/2400 = 0.0592 us the pass holds with the same room. Not re-measured on purpose (LE-111)
PERF-D04-G23	D04	STORY-P1-07-06	measured	goals/reports/wire-meas-envelope-2026-08-06-spoor-pairs.txt	rpi5-bcm2712	masked	1	fixture	2026-08-06	THE PAIRED ARM IS IN AND IT FAILS BY ~67x, AND THE 134 PERCENT IS A STATEMENT ABOUT THE DENOMINATOR AND NOT ABOUT THE STAMP. Target: spoor enabled adds <= 2% p99 and <= 2% CPU cycles; allocations = 0; torn records = 0. MEASURED ON SILICON 2026-08-06, BOTH ARMS IN ONE BOOT (Raspberry Pi 5, Tier 1, kernel8.img sha256 b6dbabaea3431afa94cf9210374826bde9e5fb4efef7c5c861b92795c5006f02, 298089 bytes, served over tos64-netboot in 583 blocks with the digest confirmed in the transfer log before the board ran one instruction of it; envelope harvested off the wire and parsed by the UNCHANGED xtask parser, metrics=14): context_switch_yield_roundtrip_2switches p99 = 82 cycles with spoor DISABLED, and the byte-identical loop plus one stamp per round trip p99 = 192 cycles ENABLED. Delta 110 cycles = +134 percent against a 2 percent allowance. THIS IS A FAIL BY ~67x AND IS RECORDED AS ONE. p50 moves 82 -> 183, delta 101. READ THE DENOMINATOR BEFORE QUOTING THE 134 PERCENT: 82 cycles is THE SMALLEST DENOMINATOR IN THIS TREE and the same absolute stamp reads as +6.7 percent against D05's dispatch round and +24.6 percent against D07's pool operation IN THIS SAME BOOT. Three pairs, denominators spanning 82 to 1650 cycles, deltas of 110, 110 and 117 -- agreeing to within 6 percent. That cross-validation is the result, not any single percentage: G23 is a constraint on instrumentation DENSITY and never on stamp cost, which PERF-D07-G23 concluded from one domain on 2026-08-06 and could not distinguish from a property of pool traffic. It is now three domains independently. Derived budget, which is what this row is FOR: 2 percent of 82 cycles is 1.6 and a stamp costs 110, so the allowance admits ONE STAMP PER ~67 CONTEXT SWITCHES. Method caveats, all of which travel with the number. THE FIGURE IS FOR A ROUND TRIP OF TWO SWITCHES and must not be quoted as one switch (same caveat as PERF-D04-G01). The metric is UNBATCHED, so LE-24's calibration residue is in both arms and largely cancels in the delta but not in either absolute. Both arms are in ONE boot deliberately: BOARD VERDICT 9 measured ~3 percent build-to-build movement on untouched code paths, larger than the 2 percent allowance, so a pair from two runs could not answer a ratio at all -- though the twins are slots 3 and 12 of the same run rather than adjacent, which is a weaker pairing than D07's and is stated rather than hidden. THE DELTA IS SMALLER THAN THE SUBSTRATE'S OWN STANDALONE STAMP COST measured in this same boot (PERF-D11-G01's spoor_stamp_park_rung_per_op_of_8 p50 = 136, p99 = 141), so the stamp partly overlaps the switch: 136 is an upper bound on what a stamp adds, not an addend to be summed into other paths. The disabled arm's distribution is flat to the cycle (min 82 max 83, n=1000 dropped=0) and the enabled arm's is not (min 171 p50 183 p99 192 p99_9 199 max 210), so the stamp is also the only source of variance this metric has. The other two clauses hold: allocations = 0 is compiler-enforced (no global_allocator in any shipped crate), and torn records = 0 was observed across 89 records at 0 lost 0 refused with the sequence unbroken across one continuous boot. SHIPPING DENSITY: the park loop contains no bare context switch -- the only one it performs is inside tinyos_dispatch_round, which is D05's subject and is stamped once per round, so read PERF-D05-G23 for the settled density analysis rather than extrapolating this row
PERF-D05-G23	D05	STORY-P1-07-06	measured	goals/reports/wire-meas-envelope-2026-08-06-spoor-pairs.txt	rpi5-bcm2712	masked	1	fixture	2026-08-06	THE DENSITY QUESTION 07C RAISED IS ANSWERED HERE AND THE ANSWER IS THE UNCOMFORTABLE ONE: UNLIKE D07, THIS RATIO DOES HAVE A DENOMINATOR IN SHIPPING CODE. Target: spoor enabled adds <= 2% p99 and <= 2% CPU cycles; allocations = 0; torn records = 0. MEASURED ON SILICON 2026-08-06, BOTH ARMS IN ONE BOOT (Raspberry Pi 5, Tier 1, kernel8.img sha256 b6dbabaea3431afa94cf9210374826bde9e5fb4efef7c5c861b92795c5006f02, envelope off the wire, parsed by the unchanged xtask parser, metrics=14): dispatch_run_once_cooperative_round p99 = 1650 cycles with spoor DISABLED, and the byte-identical round plus one stamp p99 = 1760 cycles ENABLED. Delta 110 cycles = +6.7 percent against a 2 percent allowance. THIS IS A FAIL BY ~3.3x AND IS RECORDED AS ONE. p50 moves 1650 -> 1756, delta 106. THE PAIR IS A REPLICA OF THE SHIPPING STAMP SITE, NOT A SCALED MODEL OF IT, and that was checked by reading the source on 2026-08-06 with no board and no owner decision, which is what 07C section 7 item 2 asked for. kernel::board_dispatch::tinyos_dispatch_round stamps Rung::DispatchRound EXACTLY ONCE on every one of its three exits (dispatched, dispatched-but-not-ready, uninitialised) -- the same one-stamp-per-round density as measure_phases::phase_dispatch_round_spoored -- and the two rounds are constructed identically: Scheduler of capacity 4 (BOARD_TASKS == measure_phases::TASKS), one task at priority 11 (BOARD_PRIORITY), WcetBudgetTicks(1000), a yield-forever entry point that switches straight back, and dispatch::run_once. So PERF-D07-G23's escape does not transfer: that gate's 26 percent has no denominator in shipping code because the park beat contains no pool traffic at all, whereas this 6.7 percent is what the shipping dispatch round actually pays, once per round, today. THE GATE'S TWO CLAUSES THEREFORE SPLIT AND MUST BE READ SEPARATELY RATHER THAN AVERAGED. The p99 clause FAILS at 6.7 percent against 2. The CPU-cycles clause PASSES by a very wide margin, and the reason is CADENCE rather than cost: hal_arm64::ethernet's park loop waits 100 ms per tick and runs its stamping body only on every tenth tick, so the beat is 1 Hz and the board executes ONE dispatch round per second -- 110 cycles per second of stamp on a 2.4 GHz core, about one part in 22 million of CPU time. A gate whose two clauses disagree by seven orders of magnitude on the same physical act is measuring two different things, and saying so is more useful than reporting either number alone. The derived budget is what to carry forward: 2 percent of 1650 is 33 cycles and a stamp costs 110, so the allowance admits ONE STAMP PER ~3.3 DISPATCH ROUNDS, which the shipping loop exceeds by 3.3x per round while undershooting the CPU clause by ~22 million-fold per second. WHAT WOULD MAKE THIS LIVE: raising the park beat, or any future preemptive scheduler running rounds at kilohertz and above, at which point the per-round ratio stops being harmless and the stamp inside tinyos_dispatch_round is the first thing to move behind a compile-time density control. That constraint is filed as LE-99 so it is not rediscovered from this note. Method caveats: the metric is UNBATCHED, so LE-24's residue is in both arms and largely cancels in the delta; both arms are in one boot because BOARD VERDICT 9's ~3 percent build-to-build movement exceeds the 2 percent allowance, though the twins are slots 5 and 13 of the run rather than adjacent; the round is COOPERATIVE ONLY -- one core, no preemption, no EL0 -- which is what D05 readiness prototype-cooperative already says, and no competing load ran. Other clauses: allocations = 0 compiler-enforced; torn records = 0 across 89 records, 0 lost, 0 refused, sequence unbroken. Cross-check: the 110-cycle delta here is identical to D04's on a denominator 20x larger, and 117 on D07's -- see PERF-D04-G23 for the three-pair cross-validation
PERF-D07-G20	D07	STORY-P1-01-01	refused	goals/reports/_measure-p1-01-01/pool-bench/measure-run-1.log	unrecorded	unrecorded	unrecorded	fixture	2026-08-07	NOT EVIDENCE OF A PASS. The gate was MEASURED, READ AGAINST ITS TARGET, and DECLINED. Target: denied or malformed work completes <= 0.125 us; state changes = 0; allocations = 0. Source is the committed pool-bench capture, which LABELS ITSELF with this guardrail -- pool-bench denial[exhausted][G20] and denial[invalid_handle][G20] -- and was never read against the target by anyone until 2026-08-07 (LE-104). THE STATE HALF HOLDS OUTRIGHT: state_changed=false on both denial paths in all three runs. Allocations = 0 holds structurally and is already filed as PERF-D07-G11. THE LATENCY HALF MISSES AND NOT NARROWLY: pool_u64x4_denial_exhausted p50 = 4932 cycles at the run own stated cycles_per_us=2300 = 2.144 us, against a 0.125 us budget, which is 17x over; the invalid-handle path is 674 cycles = 0.293 us, 2.3x over. Runs 2 and 3 agree within the same band. Unlike PERF-D03-G20 and PERF-D11-G02, which are refused for run-to-run variance, this is a clear overshoot rather than a noise-bound near-miss. Filed refused because the closed evidence_kind vocabulary has no state for measured-and-missed and silence would leave the cell reading unmeasured, which is exactly the condition LE-104 exists to end
PERF-D03-G06	D03	STORY-P1-06-01	refused	goals/reports/REPORT-2026-07-29-02.md	unrecorded	masked	unrecorded	fixture	2026-08-07	NOT EVIDENCE OF A PASS. Measured, read against target, declined. Target: p50 <= 300 cycles. Source: the release-profile table in the Report, decision_to_actuation_emit p50 across five runs = 632-952 cycles, 2.1x to 3.2x over budget in EVERY run. Instrument satisfies G06 method (invariant TSC with measurement overhead subtracted). THREE SIBLING CELLS ARE DELIBERATELY NOT FILED FROM THIS SAME NUMBER, and the reasons are the point. PERF-D03-G07 asks for PMU cycles and this is an rdtsc sample -- filing it would quote one instrument as another, which is LE-33 shape and what bound_provenance refuses for G04. PERF-D03-G01 and G02 are microsecond-denominated and this table states no cycles_per_us of its own; the only factor in the Report belongs to a different dev-profile envelope, and borrowing it would fabricate a conversion. PERF-D03-G05 needs 30 independent runs and five exist. LE-104
PERF-D09-G01	D09	STORY-P0-05-01	refused	goals/reports/REPORT-2026-07-28-09.md	unrecorded	unrecorded	unrecorded	fixture	2026-08-07	NOT EVIDENCE OF A PASS. Measured, read against target, declined. Target: p50 <= 50 us. Source: pe_parse_blue_sharc_accept over the real blue-sharc.txe, n=200x3=600, p50 = 4,510,818 cycles = 1,952.7 us at the envelope own stated cycles_per_us=2310 -- about 39x over budget. The Report itself records this overshoot as LE-42 and caveats it for TCG non-proportional timing; the magnitude is far outside anything that caveat plausibly explains, which is why it is filed rather than left open. This is the ACCEPT path. PERF-D09-G20, the denial path from the same Report, was already filed as measured and is not duplicated. PERF-D09-G02 is NOT filed: its method requires at least 100,000 operations and 600 exist, which is not close enough to round up. LE-104
